transformators: 32 объектов
  Объект 1: x1=498, y1=186, x2=514, y2=200
  Объект 7: x1=368, y1=89, x2=381, y2=120
  Объект 8: x1=814, y1=91, x2=827, y2=123
  Объект 9: x1=661, y1=272, x2=682, y2=289
  Объект 10: x1=513, y1=272, x2=534, y2=289
  Объект 11: x1=519, y1=114, x2=527, y2=126
  Объект 12: x1=521, y1=114, x2=531, y2=124

text: 55 объектов
  Объект 1: x1=530, y1=134, x2=574, y2=169
  Объект 2: x1=680, y1=133, x2=723, y2=169
  Объект 3: x1=828, y1=157, x2=872, y2=187
  Объект 4: x1=382, y1=154, x2=426, y2=188
  Объект 5: x1=236, y1=157, x2=281, y2=189
  Объект 6: x1=88, y1=235, x2=134, y2=273
  Объект 7: x1=524, y1=214, x2=543, y2=222
  Объект 8: x1=673, y1=214, x2=692, y2=223
  Объект 9: x1=821, y1=197, x2=838, y2=204
  Объект 10: x1=67, y1=128, x2=80, y2=136
  Объект 11: x1=542, y1=177, x2=561, y2=185
  Объект 12: x1=802, y1=197, x2=820, y2=204
  Объект 13: x1=66, y1=97, x2=80, y2=105
  Объект 14: x1=178, y1=204, x2=197, y2=222
  Объект 15: x1=356, y1=193, x2=374, y2=201
  Объект 16: x1=230, y1=197, x2=247, y2=204
  Объект 17: x1=96, y1=128, x2=110, y2=137
  Объект 18: x1=770, y1=167, x2=795, y2=186
  Объект 19: x1=356, y1=225, x2=374, y2=232
  Объект 20: x1=210, y1=197, x2=229, y2=204
  Объект 21: x1=394, y1=224, x2=413, y2=232
  Объект 22: x1=81, y1=128, x2=95, y2=136
  Объект 23: x1=691, y1=177, x2=711, y2=185
  Объект 24: x1=374, y1=193, x2=392, y2=201
  Объект 25: x1=394, y1=193, x2=412, y2=202
  Объект 26: x1=375, y1=225, x2=393, y2=232
  Объект 27: x1=524, y1=177, x2=541, y2=185
  Объект 28: x1=248, y1=197, x2=266, y2=204
  Объект 29: x1=840, y1=196, x2=858, y2=204
  Объект 30: x1=179, y1=209, x2=194, y2=222
  Объект 31: x1=770, y1=201, x2=791, y2=219
  Объект 32: x1=81, y1=98, x2=95, y2=105
  Объект 33: x1=504, y1=177, x2=523, y2=185
  Объект 34: x1=324, y1=201, x2=345, y2=213
  Объект 35: x1=802, y1=227, x2=820, y2=235
  Объект 36: x1=654, y1=177, x2=671, y2=185
  Объект 37: x1=211, y1=229, x2=229, y2=236
  Объект 38: x1=354, y1=194, x2=368, y2=202
  Объект 39: x1=96, y1=97, x2=109, y2=105
  Объект 40: x1=673, y1=177, x2=690, y2=185
  Объект 41: x1=821, y1=227, x2=839, y2=235
  Объект 42: x1=325, y1=210, x2=342, y2=219
  Объект 43: x1=324, y1=189, x2=344, y2=198
  Объект 44: x1=840, y1=227, x2=859, y2=236
  Объект 45: x1=178, y1=182, x2=203, y2=200
  Объект 46: x1=248, y1=228, x2=267, y2=237
  Объект 47: x1=229, y1=229, x2=247, y2=236
  Объект 48: x1=770, y1=145, x2=794, y2=164
  Объект 49: x1=324, y1=185, x2=345, y2=199
  Объект 50: x1=673, y1=104, x2=686, y2=114
  Объект 51: x1=525, y1=104, x2=537, y2=113
  Объект 52: x1=392, y1=194, x2=405, y2=202
  Объект 53: x1=770, y1=166, x2=795, y2=179
  Объект 54: x1=324, y1=201, x2=345, y2=218
  Объект 55: x1=373, y1=195, x2=387, y2=202

automatics: 6 объектов
  Объект 1: x1=806, y1=132, x2=837, y2=166
  Объект 2: x1=360, y1=129, x2=391, y2=163
  Объект 3: x1=215, y1=132, x2=245, y2=166
  Объект 4: x1=658, y1=129, x2=676, y2=163
  Объект 5: x1=509, y1=129, x2=527, y2=163
  Объект 6: x1=66, y1=209, x2=98, y2=244

